time,x,y,z,yaw,pitch,roll
1683031431756099584.00000000000000000000,66.61729554345947690308,74.10356895843258939749,29.04035338539314992090,-155.40170609688263425596,0.00000000000000000000,0.00000000000000000000
1683031431859900672.00000000000000000000,70.73190199216061557763,71.22600899641111027449,24.57377212260149690337,-155.37435468996952181442,0.00000000000000000000,0.00000000000000000000
1683031432007111936.00000000000000000000,69.24332127072941034385,73.05721566272424638555,25.71255048478603555395,-155.56204054567399452935,0.00000000000000000000,0.00000000000000000000
1683031432121908992.00000000000000000000,71.26017055719253789903,76.50524999967883843510,28.04440472691315378029,-157.14532862682881386718,0.00000000000000000000,0.00000000000000000000
1683031432240350464.00000000000000000000,73.85118416590944434574,74.86198656911712134843,25.28482826035324748659,-156.80955026914051586573,0.00000000000000000000,0.00000000000000000000
1683031432361694976.00000000000000000000,77.52237101631602911311,74.71473891087372010134,28.97659104949234176729,-154.95856921306250342241,0.00000000000000000000,0.00000000000000000000
1683031432479122944.00000000000000000000,75.74845664620320917493,75.92962613788505166212,28.76385602630090687626,-154.13402247595249150436,0.00000000000000000000,0.00000000000000000000
1683031432605835520.00000000000000000000,76.63371602418779104937,76.83045303606596121426,27.25216264763894358225,-155.42164089798944814902,0.00000000000000000000,0.00000000000000000000
1683031432721875712.00000000000000000000,81.03863140100506257113,79.71744824339862134366,27.87577970102615410042,-152.92070717287060688250,0.00000000000000000000,0.00000000000000000000
1683031432835328512.00000000000000000000,81.61897690813374595109,78.97964815423307527453,24.59396902421639907743,-157.02855712248663166974,0.00000000000000000000,0.00000000000000000000
1683031432954990592.00000000000000000000,82.88286587563895579933,79.71587729488190632310,28.06422236532112890472,-153.80986301110903013978,0.00000000000000000000,0.00000000000000000000
1683031433071248640.00000000000000000000,86.14830477004181830125,79.71245281644598890125,26.20192497935909869966,-157.12332329674350717141,0.00000000000000000000,0.00000000000000000000
1683031433187465216.00000000000000000000,88.36012828567508847755,80.24303273785591272826,26.48697303739053765526,-155.63665824005619242598,0.00000000000000000000,0.00000000000000000000
1683031433287855360.00000000000000000000,88.07107389894916593676,83.31549977850922061862,26.94313997788904302411,-157.40030836486187126866,0.00000000000000000000,0.00000000000000000000
1683031433429246464.00000000000000000000,86.66482525019155502832,83.04714960092728404106,26.42416554080361734691,-156.31594485187596887954,0.00000000000000000000,0.00000000000000000000
1683031433558275840.00000000000000000000,86.37107481312668255669,81.80088123491481155725,26.23818703273817476429,-155.76376993093131773094,0.00000000000000000000,0.00000000000000000000
1683031433662940416.00000000000000000000,85.35781124497736982448,82.67790872308442828853,26.53476259146296811764,-154.98232692005663579948,0.00000000000000000000,0.00000000000000000000
1683031433778260480.00000000000000000000,87.87279998614918952171,79.94854985714876249858,27.41841898513875008803,-155.28910028332384740679,0.00000000000000000000,0.00000000000000000000
1683031433884587008.00000000000000000000,88.95572809151265403216,83.56062559374338150064,26.21201152379585508356,-156.96828982948986208612,0.00000000000000000000,0.00000000000000000000
1683031434033802752.00000000000000000000,85.88723094342202557527,80.78668367385139958969,25.02630823672096127552,-157.03426329709239439580,0.00000000000000000000,0.00000000000000000000
1683031434142398464.00000000000000000000,88.37433367027568920093,82.67904788257003190211,27.70448319762163436053,-155.44345853502719023709,0.00000000000000000000,0.00000000000000000000
1683031434262030080.00000000000000000000,87.83255831681545089396,81.66131175465373814859,27.26109378066647792593,-157.84301515402469817673,0.00000000000000000000,0.00000000000000000000
1683031434377105664.00000000000000000000,85.99256375848533195949,80.69512268073390259815,25.80044189572657131748,-154.57083129695848811025,0.00000000000000000000,0.00000000000000000000
1683031434519825920.00000000000000000000,88.18693754189727940229,81.48835400440030696245,25.22798019684093873138,-155.22423298047442585812,0.00000000000000000000,0.00000000000000000000
1683031434643634176.00000000000000000000,86.56890874020692194790,79.99320804261296302684,26.77720490294067445802,-155.08912223426378318436,0.00000000000000000000,0.00000000000000000000
1683031434777087488.00000000000000000000,85.48994685267982163168,81.05793784371719823412,28.39512414365806591832,-156.99164566964387290682,0.00000000000000000000,0.00000000000000000000
1683031434907444224.00000000000000000000,86.48560582268041230236,83.51786784508939831539,26.85179825102641260059,-157.29739864660211878800,0.00000000000000000000,0.00000000000000000000
1683031435020884736.00000000000000000000,85.94877830010753427814,83.58771628869756398217,26.47773281632416697562,-156.88723406608022514774,0.00000000000000000000,0.00000000000000000000
1683031435128358912.00000000000000000000,87.88169446175811572175,80.62792481647328202143,28.24345125641968223817,-156.06290403285390766541,0.00000000000000000000,0.00000000000000000000
1683031435275633408.00000000000000000000,88.41992063431449366817,81.20718518997101398327,29.59203443914689657390,-156.87864346465221387916,0.00000000000000000000,0.00000000000000000000
1683031435393349376.00000000000000000000,89.40151637425397268544,80.91825163390461739255,29.27289094780234535165,-153.99125929715583538382,0.00000000000000000000,0.00000000000000000000
1683031435510588928.00000000000000000000,89.04652311511976847669,80.91540267173030542835,28.29685726262567868616,-150.13420820428765978249,0.00000000000000000000,0.00000000000000000000
1683031435636713984.00000000000000000000,90.23169288094807427569,79.77288891102655554732,24.30201355891083636607,-145.82244619472876934196,0.00000000000000000000,0.00000000000000000000
1683031435742525952.00000000000000000000,90.39699399389435541252,80.85896793399412274539,25.96664320722362617744,-141.64966004046527814353,0.00000000000000000000,0.00000000000000000000
1683031435877789184.00000000000000000000,92.29455314550463640444,81.25602695943560149772,25.09344940531902778957,-136.61759448731436350499,0.00000000000000000000,0.00000000000000000000
